"voornaam","achternaam","initiaal","initnaam","partij","initiatieven","vragen","tussenkomsten","vrageninitiatieven","url"
"Anke","Van dermeersch","A.","A. Van dermeersch","Vlaams Belang",34,94,29,128,"/vlaamse-volksvertegenwoordigers/anke-van-dermeersch"
"Tine","van der Vloet","T.","T. van der Vloet","N-VA",17,229,82,246,"/vlaamse-volksvertegenwoordigers/tine-van-der-vloet"
"Orry","Van de Wauwer","O.","O. Van de Wauwer","CD&V",1,2,5,3,"/vlaamse-volksvertegenwoordigers/orry-van-de-wauwer"
"Kris","Van Dijck","K.","K. Van Dijck","N-VA",477,674,790,1151,"/vlaamse-volksvertegenwoordigers/kris-van-dijck"
"Miranda","Van Eetvelde","M.","M. Van Eetvelde","N-VA",14,233,275,247,"/vlaamse-volksvertegenwoordigers/miranda-van-eetvelde"
"Jan","Van Esbroeck","J.","J. Van Esbroeck","N-VA",20,34,156,54,"/vlaamse-volksvertegenwoordigers/jan-van-esbroeck"
"Christian","Van Eyken","C.","C. Van Eyken","UF",20,840,221,860,"/vlaamse-volksvertegenwoordigers/christian-van-eyken"
"Tom","Van Grieken","T.","T. Van Grieken","Vlaams Belang",35,135,24,170,"/vlaamse-volksvertegenwoordigers/tom-van-grieken"
"Karl","Vanlouwe","K.","K. Vanlouwe","N-VA",19,198,179,217,"/vlaamse-volksvertegenwoordigers/karl-vanlouwe"
"Bart","Van Malderen","B.","B. Van Malderen","sp·a",188,1400,883,1588,"/vlaamse-volksvertegenwoordigers/bart-van-malderen"
"Paul","Van Miert","P.","P. Van Miert","N-VA",15,197,101,212,"/vlaamse-volksvertegenwoordigers/paul-van-miert"
"Karim","Van Overmeire","K.","K. Van Overmeire","N-VA",115,996,432,1111,"/vlaamse-volksvertegenwoordigers/karim-van-overmeire"
"Peter","Van Rompuy","P.","P. Van Rompuy","CD&V",24,793,181,817,"/vlaamse-volksvertegenwoordigers/peter-van-rompuy"
"Mercedes","Van Volcem","M.","M. Van Volcem","Open Vld",95,833,309,928,"/vlaamse-volksvertegenwoordigers/mercedes-van-volcem"
"Manuela","Van Werde","M.","M. Van Werde","N-VA",13,151,103,164,"/vlaamse-volksvertegenwoordigers/manuela-van-werde"
"Daniëlle","Vanwesenbeeck","D.","D. Vanwesenbeeck","Open Vld",0,36,12,36,"/vlaamse-volksvertegenwoordigers/danielle-vanwesenbeeck"
"Sabine","Vermeulen","S.","S. Vermeulen","N-VA",7,283,195,290,"/vlaamse-volksvertegenwoordigers/sabine-vermeulen"
"Johan","Verstreken","J.","J. Verstreken","CD&V",87,933,332,1020,"/vlaamse-volksvertegenwoordigers/johan-verstreken"
"Peter","Wouters","P.","P. Wouters","N-VA",6,146,127,152,"/vlaamse-volksvertegenwoordigers/peter-wouters"
"Herman","Wynants","H.","H. Wynants","N-VA",2,49,71,51,"/vlaamse-volksvertegenwoordigers/herman-wynants"
