MP,Party,Intervention,votes,Written_question,Activity
Rachael Maskell,Labour (Co-op),39,22,71,1.3516678026017053
Paul Masterton,Conservative,20,23,33,0.8092520026016337
Christian Matheson,Labour,41,19,8,-0.8061316091209609
Mrs Theresa May,Conservative,515,17,0,-1.5175934112943885
Paul Maynard,Conservative,22,23,0,0.10356530889058796
Steve McCabe,Labour,21,21,90,1.4877791425863265
Kerry McCarthy,Labour,35,17,49,-0.46975559335980555
Siobhain McDonagh,Labour,24,21,4,-0.35128315011518657
Andy McDonald,Labour,29,22,30,0.47490554677889096
Stewart Malcolm McDonald,Scottish National Party,29,19,18,-0.5922871564812502
Stuart C. McDonald,Scottish National Party,16,21,28,0.1619435362201194
John McDonnell,Labour,34,22,50,0.9025944520583126
Mr Pat McFadden,Labour,15,22,1,-0.14524336587627035
Conor McGinn,Labour,4,22,11,0.06860108676344046
Alison McGovern,Labour,19,23,16,0.44571643311412523
Liz McInnes,Labour,28,22,25,0.3679833204590356
Catherine McKinnell,Labour,11,23,47,1.1086342362972288
Sir Patrick McLoughlin,Conservative,1,23,0,0.10356530889058796
Jim McMahon,Labour (Co-op),18,22,29,0.45352110151491987
Anna McMorrin,Labour,20,22,4,-0.08109003008435711
John McNally,Scottish National Party,2,21,21,0.012252419372321827
Stephen McPartland,Conservative,6,23,15,0.4243319878501542
Esther McVey,Conservative,14,23,5,0.2104875352104434
Ian Mearns,Labour,11,22,4,-0.08109003008435711
Mark Menzies,Conservative,7,23,16,0.44571643311412523
Johnny Mercer,Conservative,2,17,2,-1.4748245207664463
Huw Merriman,Conservative,35,18,0,-1.2474002912635591
Stephen Metcalfe,Conservative,2,23,1,0.12494975415455906
Edward Miliband,Labour,9,19,1,-0.9558227259687586
Mrs Maria Miller,Conservative,41,23,2,0.14633419941853015
Amanda Milling,Conservative,26,23,2,0.14633419941853015
Nigel Mills,Conservative,11,23,8,0.2746408710023566
Anne Milton,Conservative,17,23,0,0.10356530889058796
Mr Andrew Mitchell,Conservative,6,23,4,0.1891030899464723
Carol Monaghan,Scottish National Party,35,19,5,-0.8702849449128742
Mrs Madeleine Moon,Labour,37,12,85,-1.0508811640109939
Damien Moore,Conservative,7,23,0,0.10356530889058796
Layla Moran,Liberal Democrat,27,15,141,0.9572271308638749
Penny Mordaunt,Conservative,40,21,0,-0.4368209311710709
Jessica Morden,Labour,17,22,16,0.17552331308329586
Nicky Morgan,Conservative,20,23,6,0.23187198047441443
Stephen Morgan,Labour,3,19,2,-0.9344382807047875
Anne Marie Morris,Independent,0,17,0,-1.5175934112943885
David Morris,Conservative,6,23,6,0.23187198047441443
Grahame Morris,Labour,33,22,145,2.934116752135565
James Morris,Conservative,9,23,0,0.10356530889058796
Wendy Morton,Conservative,59,23,0,0.10356530889058796
David Mundell,Conservative,21,23,0,0.10356530889058796
Ian Murray,Labour,15,18,25,-0.7127891596642821
Mrs Sheryll Murray,Conservative,7,23,1,0.12494975415455906
Dr Andrew Murrison,Conservative,18,23,0,0.10356530889058796
Lisa Nandy,Labour,4,22,5,-0.059705584820386015
Robert Neill,Conservative,37,23,0,0.10356530889058796
Gavin Newlands,Scottish National Party,21,21,7,-0.28712981432327334
Sarah Newton,Conservative,99,23,0,0.10356530889058796
Caroline Nokes,Conservative,20,23,0,0.10356530889058796
Jesse Norman,Conservative,36,23,0,0.10356530889058796
Alex Norris,Labour (Co-op),20,22,13,0.11136997729138262
Neil O'Brien,Conservative,11,23,7,0.2532564257383855
Dr Matthew Offord,Conservative,13,23,78,1.7715520394803324
Brendan O'Hara,Scottish National Party,20,21,2,-0.3940520406431287
Jared O'Mara,Labour,0,19,1,-0.9558227259687586
Fiona Onasanya,Labour,8,21,0,-0.4368209311710709
Melanie Onn,Labour,21,22,15,0.1541388678193248
Chi Onwurah,Labour,15,22,140,2.8271945258157096
Guy Opperman,Conservative,26,23,0,0.10356530889058796
Kate Osamor,Labour (Co-op),4,22,21,0.28244553940315126
Albert Owen,Labour,54,23,0,0.10356530889058796
Ian Paisley,Democratic Unionist Party,39,19,15,-0.6564404922731635
Neil Parish,Conservative,28,23,4,0.1891030899464723
Priti Patel,Conservative,60,23,0,0.10356530889058796
Mr Owen Paterson,Conservative,12,23,0,0.10356530889058796
